"gene","removal_reason"
"Phvul.001G000600","no readcount"
"Phvul.001G016000","no readcount"
"Phvul.001G018500","no readcount"
"Phvul.001G021800","no readcount"
"Phvul.001G023800","no readcount"
"Phvul.001G029700","no readcount"
"Phvul.001G030500","no readcount"
"Phvul.001G032200","no readcount"
"Phvul.001G036700","no readcount"
"Phvul.001G042000","no readcount"
"Phvul.001G047700","no readcount"
"Phvul.001G050500","no readcount"
"Phvul.001G052600","no readcount"
"Phvul.001G055100","no readcount"
"Phvul.001G062400","no readcount"
"Phvul.001G063050","no readcount"
"Phvul.001G063800","no readcount"
"Phvul.001G066900","no readcount"
"Phvul.001G073501","no readcount"
"Phvul.001G079300","no readcount"
"Phvul.001G083050","no readcount"
"Phvul.001G083800","no readcount"
"Phvul.001G085600","no readcount"
"Phvul.001G085700","no readcount"
"Phvul.001G086000","no readcount"
"Phvul.001G090800","no readcount"
"Phvul.001G093200","no readcount"
"Phvul.001G095700","no readcount"
"Phvul.001G096000","no readcount"
"Phvul.001G101100","no readcount"
"Phvul.001G104900","no readcount"
"Phvul.001G109780","no readcount"
"Phvul.001G110601","no readcount"
"Phvul.001G113200","no readcount"
"Phvul.001G114800","no readcount"
"Phvul.001G117300","no readcount"
"Phvul.001G118900","no readcount"
"Phvul.001G119800","no readcount"
"Phvul.001G123300","no readcount"
"Phvul.001G131300","no readcount"
"Phvul.001G132900","no readcount"
"Phvul.001G135100","no readcount"
"Phvul.001G137100","no readcount"
"Phvul.001G141900","no readcount"
"Phvul.001G144800","no readcount"
"Phvul.001G150300","no readcount"
"Phvul.001G151700","no readcount"
"Phvul.001G151800","no readcount"
"Phvul.001G157200","no readcount"
"Phvul.001G159600","no readcount"
"Phvul.001G159700","no readcount"
"Phvul.001G163000","no readcount"
"Phvul.001G163200","no readcount"
"Phvul.001G170500","no readcount"
"Phvul.001G172700","no readcount"
"Phvul.001G173400","no readcount"
"Phvul.001G173700","no readcount"
"Phvul.001G183400","no readcount"
"Phvul.001G198000","no readcount"
"Phvul.001G200700","no readcount"
"Phvul.001G204800","no readcount"
"Phvul.001G218900","no readcount"
"Phvul.001G219900","no readcount"
"Phvul.001G222400","no readcount"
"Phvul.001G225200","no readcount"
"Phvul.001G227000","no readcount"
"Phvul.001G229800","no readcount"
"Phvul.001G239600","no readcount"
"Phvul.001G239800","no readcount"
"Phvul.001G246700","no readcount"
"Phvul.001G248300","no readcount"
"Phvul.001G252400","no readcount"
"Phvul.001G252800","no readcount"
"Phvul.001G255300","no readcount"
"Phvul.001G257700","no readcount"
"Phvul.001G258500","no readcount"
"Phvul.001G259800","no readcount"
"Phvul.001G268200","no readcount"
"Phvul.002G001700","no readcount"
"Phvul.002G003200","no readcount"
"Phvul.002G003900","no readcount"
"Phvul.002G011600","no readcount"
"Phvul.002G035400","no readcount"
"Phvul.002G039800","no readcount"
"Phvul.002G042100","no readcount"
"Phvul.002G042800","no readcount"
"Phvul.002G045300","no readcount"
"Phvul.002G054600","no readcount"
"Phvul.002G071100","no readcount"
"Phvul.002G076800","no readcount"
"Phvul.002G077700","no readcount"
"Phvul.002G078200","no readcount"
"Phvul.002G081500","no readcount"
"Phvul.002G081800","no readcount"
"Phvul.002G081900","no readcount"
"Phvul.002G089200","no readcount"
"Phvul.002G092500","no readcount"
"Phvul.002G100200","no readcount"
"Phvul.002G100800","no readcount"
"Phvul.002G103800","no readcount"
"Phvul.002G106200","no readcount"
"Phvul.002G107100","no readcount"
"Phvul.002G107600","no readcount"
"Phvul.002G113100","no readcount"
"Phvul.002G116550","no readcount"
"Phvul.002G120000","no readcount"
"Phvul.002G122700","no readcount"
"Phvul.002G123600","no readcount"
"Phvul.002G126200","no readcount"
"Phvul.002G127600","no readcount"
"Phvul.002G128000","no readcount"
"Phvul.002G130800","no readcount"
"Phvul.002G143866","no readcount"
"Phvul.002G151700","no readcount"
"Phvul.002G153800","no readcount"
"Phvul.002G154400","no readcount"
"Phvul.002G155600","no readcount"
"Phvul.002G156900","no readcount"
"Phvul.002G159300","no readcount"
"Phvul.002G163100","no readcount"
"Phvul.002G178000","no readcount"
"Phvul.002G178200","no readcount"
"Phvul.002G179600","no readcount"
"Phvul.002G179700","no readcount"
"Phvul.002G181100","no readcount"
"Phvul.002G181300","no readcount"
"Phvul.002G181900","no readcount"
"Phvul.002G182400","no readcount"
"Phvul.002G186800","no readcount"
"Phvul.002G188100","no readcount"
"Phvul.002G189700","no readcount"
"Phvul.002G191600","no readcount"
"Phvul.002G193400","no readcount"
"Phvul.002G193500","no readcount"
"Phvul.002G204700","no readcount"
"Phvul.002G205500","no readcount"
"Phvul.002G206300","no readcount"
"Phvul.002G211300","no readcount"
"Phvul.002G214766","no readcount"
"Phvul.002G218100","no readcount"
"Phvul.002G229800","no readcount"
"Phvul.002G237100","no readcount"
"Phvul.002G237700","no readcount"
"Phvul.002G245000","no readcount"
"Phvul.002G247400","no readcount"
"Phvul.002G278104","no readcount"
"Phvul.002G282400","no readcount"
"Phvul.002G282700","no readcount"
"Phvul.002G283200","no readcount"
"Phvul.002G285200","no readcount"
"Phvul.002G289700","no readcount"
"Phvul.002G290200","no readcount"
"Phvul.002G291300","no readcount"
"Phvul.002G291400","no readcount"
"Phvul.002G291500","no readcount"
"Phvul.002G294200","no readcount"
"Phvul.002G310300","no readcount"
"Phvul.002G314400","no readcount"
"Phvul.002G316200","no readcount"
"Phvul.002G323000","no readcount"
"Phvul.002G326800","no readcount"
"Phvul.003G001500","no readcount"
"Phvul.003G002400","no readcount"
"Phvul.003G002700","no readcount"
"Phvul.003G003126","no readcount"
"Phvul.003G003726","no readcount"
"Phvul.003G014100","no readcount"
"Phvul.003G015000","no readcount"
"Phvul.003G026000","no readcount"
"Phvul.003G026700","no readcount"
"Phvul.003G038900","no readcount"
"Phvul.003G039800","no readcount"
"Phvul.003G041000","no readcount"
"Phvul.003G044300","no readcount"
"Phvul.003G050400","no readcount"
"Phvul.003G052200","no readcount"
"Phvul.003G053200","no readcount"
"Phvul.003G054800","no readcount"
"Phvul.003G063000","no readcount"
"Phvul.003G063800","no readcount"
"Phvul.003G065200","no readcount"
"Phvul.003G065400","no readcount"
"Phvul.003G068700","no readcount"
"Phvul.003G081800","no readcount"
"Phvul.003G082500","no readcount"
"Phvul.003G084900","no readcount"
"Phvul.003G085101","no readcount"
"Phvul.003G086400","no readcount"
"Phvul.003G095100","no readcount"
"Phvul.003G096100","no readcount"
"Phvul.003G097600","no readcount"
"Phvul.003G114000","no readcount"
"Phvul.003G119300","no readcount"
"Phvul.003G121100","no readcount"
"Phvul.003G121700","no readcount"
"Phvul.003G122000","no readcount"
"Phvul.003G123100","no readcount"
"Phvul.003G124000","no readcount"
"Phvul.003G134500","no readcount"
"Phvul.003G136200","no readcount"
"Phvul.003G136600","no readcount"
"Phvul.003G140100","no readcount"
"Phvul.003G147900","no readcount"
"Phvul.003G148600","no readcount"
"Phvul.003G149100","no readcount"
"Phvul.003G151200","no readcount"
"Phvul.003G152600","no readcount"
"Phvul.003G153500","no readcount"
"Phvul.003G157100","no readcount"
"Phvul.003G159500","no readcount"
"Phvul.003G167500","no readcount"
"Phvul.003G171400","no readcount"
"Phvul.003G183000","no readcount"
"Phvul.003G185900","no readcount"
"Phvul.003G190601","no readcount"
"Phvul.003G191300","no readcount"
"Phvul.003G191700","no readcount"
"Phvul.003G197900","no readcount"
"Phvul.003G199000","no readcount"
"Phvul.003G200200","no readcount"
"Phvul.003G204032","no readcount"
"Phvul.003G216300","no readcount"
"Phvul.003G218150","no readcount"
"Phvul.003G221225","no readcount"
"Phvul.003G221275","no readcount"
"Phvul.003G232600","no readcount"
"Phvul.003G241500","no readcount"
"Phvul.003G244100","no readcount"
"Phvul.003G246500","no readcount"
"Phvul.003G249500","no readcount"
"Phvul.003G250932","no readcount"
"Phvul.003G251600","no readcount"
"Phvul.003G255100","no readcount"
"Phvul.003G255200","no readcount"
"Phvul.003G257800","no readcount"
"Phvul.003G261600","no readcount"
"Phvul.003G263700","no readcount"
"Phvul.003G264100","no readcount"
"Phvul.003G267200","no readcount"
"Phvul.003G270100","no readcount"
"Phvul.003G270700","no readcount"
"Phvul.003G271000","no readcount"
"Phvul.003G290600","no readcount"
"Phvul.003G291400","no readcount"
"Phvul.003G297000","no readcount"
"Phvul.004G008680","no readcount"
"Phvul.004G009109","no readcount"
"Phvul.004G009127","no readcount"
"Phvul.004G009818","no readcount"
"Phvul.004G009821","no readcount"
"Phvul.004G010100","no readcount"
"Phvul.004G010500","no readcount"
"Phvul.004G012801","no readcount"
"Phvul.004G014900","no readcount"
"Phvul.004G019300","no readcount"
"Phvul.004G019400","no readcount"
"Phvul.004G020800","no readcount"
"Phvul.004G022900","no readcount"
"Phvul.004G035100","no readcount"
"Phvul.004G041200","no readcount"
"Phvul.004G041800","no readcount"
"Phvul.004G050600","no readcount"
"Phvul.004G050700","no readcount"
"Phvul.004G051400","no readcount"
"Phvul.004G061400","no readcount"
"Phvul.004G065900","no readcount"
"Phvul.004G081400","no readcount"
"Phvul.004G091794","no readcount"
"Phvul.004G095100","no readcount"
"Phvul.004G106200","no readcount"
"Phvul.004G106300","no readcount"
"Phvul.004G106500","no readcount"
"Phvul.004G112900","no readcount"
"Phvul.004G113100","no readcount"
"Phvul.004G113500","no readcount"
"Phvul.004G113700","no readcount"
"Phvul.004G113900","no readcount"
"Phvul.004G114500","no readcount"
"Phvul.004G115000","no readcount"
"Phvul.004G117350","no readcount"
"Phvul.004G117400","no readcount"
"Phvul.004G121633","no readcount"
"Phvul.004G122500","no readcount"
"Phvul.004G125400","no readcount"
"Phvul.004G126200","no readcount"
"Phvul.004G130800","no readcount"
"Phvul.004G134901","no readcount"
"Phvul.004G136300","no readcount"
"Phvul.004G143200","no readcount"
"Phvul.004G144000","no readcount"
"Phvul.004G150400","no readcount"
"Phvul.004G151600","no readcount"
"Phvul.004G160600","no readcount"
"Phvul.004G164500","no readcount"
"Phvul.004G166000","no readcount"
"Phvul.004G169000","no readcount"
"Phvul.004G171500","no readcount"
"Phvul.004G177800","no readcount"
"Phvul.005G002200","no readcount"
"Phvul.005G007900","no readcount"
"Phvul.005G009000","no readcount"
"Phvul.005G010400","no readcount"
"Phvul.005G010600","no readcount"
"Phvul.005G016100","no readcount"
"Phvul.005G016500","no readcount"
"Phvul.005G020800","no readcount"
"Phvul.005G025100","no readcount"
"Phvul.005G028800","no readcount"
"Phvul.005G030300","no readcount"
"Phvul.005G031100","no readcount"
"Phvul.005G033000","no readcount"
"Phvul.005G040600","no readcount"
"Phvul.005G042900","no readcount"
"Phvul.005G043000","no readcount"
"Phvul.005G046201","no readcount"
"Phvul.005G046800","no readcount"
"Phvul.005G047400","no readcount"
"Phvul.005G047700","no readcount"
"Phvul.005G053700","no readcount"
"Phvul.005G062200","no readcount"
"Phvul.005G067975","no readcount"
"Phvul.005G073600","no readcount"
"Phvul.005G075400","no readcount"
"Phvul.005G078100","no readcount"
"Phvul.005G079733","no readcount"
"Phvul.005G080800","no readcount"
"Phvul.005G082300","no readcount"
"Phvul.005G088700","no readcount"
"Phvul.005G089500","no readcount"
"Phvul.005G091800","no readcount"
"Phvul.005G096901","no readcount"
"Phvul.005G097300","no readcount"
"Phvul.005G107700","no readcount"
"Phvul.005G117900","no readcount"
"Phvul.005G119500","no readcount"
"Phvul.005G122000","no readcount"
"Phvul.005G129700","no readcount"
"Phvul.005G132000","no readcount"
"Phvul.005G132800","no readcount"
"Phvul.005G155000","no readcount"
"Phvul.005G157700","no readcount"
"Phvul.005G157800","no readcount"
"Phvul.005G163700","no readcount"
"Phvul.005G163800","no readcount"
"Phvul.005G165500","no readcount"
"Phvul.005G169300","no readcount"
"Phvul.005G170000","no readcount"
"Phvul.005G171300","no readcount"
"Phvul.005G175900","no readcount"
"Phvul.005G183800","no readcount"
"Phvul.006G013000","no readcount"
"Phvul.006G013781","no readcount"
"Phvul.006G016600","no readcount"
"Phvul.006G016900","no readcount"
"Phvul.006G021750","no readcount"
"Phvul.006G021900","no readcount"
"Phvul.006G022300","no readcount"
"Phvul.006G025300","no readcount"
"Phvul.006G025500","no readcount"
"Phvul.006G025600","no readcount"
"Phvul.006G025700","no readcount"
"Phvul.006G025840","no readcount"
"Phvul.006G025880","no readcount"
"Phvul.006G026040","no readcount"
"Phvul.006G030100","no readcount"
"Phvul.006G035900","no readcount"
"Phvul.006G036500","no readcount"
"Phvul.006G038900","no readcount"
"Phvul.006G042700","no readcount"
"Phvul.006G048300","no readcount"
"Phvul.006G048800","no readcount"
"Phvul.006G050400","no readcount"
"Phvul.006G053900","no readcount"
"Phvul.006G057100","no readcount"
"Phvul.006G070300","no readcount"
"Phvul.006G084200","no readcount"
"Phvul.006G089400","no readcount"
"Phvul.006G091200","no readcount"
"Phvul.006G096300","no readcount"
"Phvul.006G096400","no readcount"
