"gene","removal_reason"
"Bcin01g00100","no readcount"
"Bcin01g00450","no readcount"
"Bcin01g00610","no readcount"
"Bcin01g00620","no readcount"
"Bcin01g00680","no readcount"
"Bcin01g00900","no readcount"
"Bcin01g01050","no readcount"
"Bcin01g01130","no readcount"
"Bcin01g02630","no readcount"
"Bcin01g03470","no readcount"
"Bcin01g04000","no readcount"
"Bcin01g04450","no readcount"
"Bcin01g05030","no readcount"
"Bcin01g05260","no readcount"
"Bcin01g05290","no readcount"
"Bcin01g05390","no readcount"
"Bcin01g06260","no readcount"
"Bcin01g06580","no readcount"
"Bcin01g06760","no readcount"
"Bcin01g06780","no readcount"
"Bcin01g06930","no readcount"
"Bcin01g07540","no readcount"
"Bcin01g07665","no readcount"
"Bcin01g08210","no readcount"
"Bcin01g08430","no readcount"
"Bcin01g08890","no readcount"
"Bcin01g08920","no readcount"
"Bcin01g09210","no readcount"
"Bcin01g09750","no readcount"
"Bcin01g10110","no readcount"
"Bcin01g10400","no readcount"
"Bcin01g10590","no readcount"
"Bcin01g11340","no readcount"
"Bcin02g00300","no readcount"
"Bcin02g00580","no readcount"
"Bcin02g01470","no readcount"
"Bcin02g01560","no readcount"
"Bcin02g01860","no readcount"
"Bcin02g02200","no readcount"
"Bcin02g02650","no readcount"
"Bcin02g02860","no readcount"
"Bcin02g02900","no readcount"
"Bcin02g02910","no readcount"
"Bcin02g02960","no readcount"
"Bcin02g03820","no readcount"
"Bcin02g04050","no readcount"
"Bcin02g04410","no readcount"
"Bcin02g04550","no readcount"
"Bcin02g04850","no readcount"
"Bcin02g05290","no readcount"
"Bcin02g05380","no readcount"
"Bcin02g05420","no readcount"
"Bcin02g07230","no readcount"
"Bcin02g07970","no readcount"
"Bcin02g08170","no readcount"
"Bcin02g08550","no readcount"
"Bcin03g00030","no readcount"
"Bcin03g00520","no readcount"
"Bcin03g00600","no readcount"
"Bcin03g00740","no readcount"
"Bcin03g01070","no readcount"
"Bcin03g01240","no readcount"
"Bcin03g01300","no readcount"
"Bcin03g01800","no readcount"
"Bcin03g01810","no readcount"
"Bcin03g02700","no readcount"
