"gene","removal_reason"
"Vigun01g006700","no readcount"
"Vigun01g007500","no readcount"
"Vigun01g010000","no readcount"
"Vigun01g012800","no readcount"
"Vigun01g013100","no readcount"
"Vigun01g014000","no readcount"
"Vigun01g014200","no readcount"
"Vigun01g015100","no readcount"
"Vigun01g016100","no readcount"
"Vigun01g016500","no readcount"
"Vigun01g017500","no readcount"
"Vigun01g018600","no readcount"
"Vigun01g020100","no readcount"
"Vigun01g022366","no readcount"
"Vigun01g022432","no readcount"
"Vigun01g027300","no readcount"
"Vigun01g028200","no readcount"
"Vigun01g035900","no readcount"
"Vigun01g039400","no readcount"
"Vigun01g039900","no readcount"
"Vigun01g040200","no readcount"
"Vigun01g040350","no readcount"
"Vigun01g043000","no readcount"
"Vigun01g043700","no readcount"
"Vigun01g044101","no readcount"
"Vigun01g045200","no readcount"
"Vigun01g047700","no readcount"
"Vigun01g052300","no readcount"
"Vigun01g053600","no readcount"
"Vigun01g056400","no readcount"
"Vigun01g064100","no readcount"
"Vigun01g064300","no readcount"
"Vigun01g064350","no readcount"
"Vigun01g066600","no readcount"
"Vigun01g075000","no readcount"
"Vigun01g077066","no readcount"
"Vigun01g078400","no readcount"
"Vigun01g083600","no readcount"
"Vigun01g085800","no readcount"
"Vigun01g089300","no readcount"
"Vigun01g091500","no readcount"
"Vigun01g091700","no readcount"
"Vigun01g095500","no readcount"
"Vigun01g098800","no readcount"
"Vigun01g099800","no readcount"
"Vigun01g100000","no readcount"
"Vigun01g106500","no readcount"
"Vigun01g106800","no readcount"
"Vigun01g110700","no readcount"
"Vigun01g114100","no readcount"
"Vigun01g116900","no readcount"
"Vigun01g120100","no readcount"
"Vigun01g123800","no readcount"
"Vigun01g123900","no readcount"
"Vigun01g124600","no readcount"
"Vigun01g125700","no readcount"
"Vigun01g126800","no readcount"
"Vigun01g128600","no readcount"
"Vigun01g133000","no readcount"
"Vigun01g135400","no readcount"
"Vigun01g137000","no readcount"
"Vigun01g138500","no readcount"
"Vigun01g143700","no readcount"
"Vigun01g144800","no readcount"
"Vigun01g149900","no readcount"
"Vigun01g150600","no readcount"
"Vigun01g151400","no readcount"
"Vigun01g151600","no readcount"
"Vigun01g154900","no readcount"
"Vigun01g155200","no readcount"
"Vigun01g156000","no readcount"
"Vigun01g157100","no readcount"
"Vigun01g159300","no readcount"
"Vigun01g161200","no readcount"
"Vigun01g166400","no readcount"
"Vigun01g166500","no readcount"
"Vigun01g166900","no readcount"
"Vigun01g169800","no readcount"
"Vigun01g169900","no readcount"
"Vigun01g169950","no readcount"
"Vigun01g170200","no readcount"
"Vigun01g171300","no readcount"
"Vigun01g171500","no readcount"
"Vigun01g174800","no readcount"
"Vigun01g178200","no readcount"
"Vigun01g178700","no readcount"
"Vigun01g185800","no readcount"
"Vigun01g186000","no readcount"
"Vigun01g188700","no readcount"
"Vigun01g189200","no readcount"
"Vigun01g191300","no readcount"
"Vigun01g195600","no readcount"
"Vigun01g196900","no readcount"
"Vigun01g197300","no readcount"
"Vigun01g197600","no readcount"
"Vigun01g207500","no readcount"
"Vigun01g211000","no readcount"
"Vigun01g211500","no readcount"
"Vigun01g212400","no readcount"
"Vigun01g212700","no readcount"
"Vigun01g214500","no readcount"
"Vigun01g216900","no readcount"
"Vigun01g217800","no readcount"
"Vigun01g218000","no readcount"
"Vigun01g218100","no readcount"
"Vigun01g218700","no readcount"
"Vigun01g219700","no readcount"
"Vigun01g219800","no readcount"
"Vigun01g224800","no readcount"
"Vigun01g227100","no readcount"
"Vigun01g227400","no readcount"
"Vigun01g229700","no readcount"
"Vigun01g230800","no readcount"
"Vigun01g233700","no readcount"
"Vigun01g234600","no readcount"
"Vigun01g235700","no readcount"
"Vigun01g236900","no readcount"
"Vigun01g237500","no readcount"
"Vigun01g241800","no readcount"
"Vigun01g242500","no readcount"
"Vigun01g244200","no readcount"
"Vigun01g248900","no readcount"
"Vigun01g249900","no readcount"
"Vigun01g250400","no readcount"
"Vigun01g253100","no readcount"
"Vigun01g253900","no readcount"
"Vigun01g254300","no readcount"
"Vigun01g254650","no readcount"
"Vigun01g254900","no readcount"
"Vigun01g255300","no readcount"
"Vigun02g000300","no readcount"
"Vigun02g001600","no readcount"
"Vigun02g002600","no readcount"
